quote,author,tags
“be yourself; everyone else is already taken.”,Oscar Wilde,['general']
"“i'm selfish, impatient and a little insecure. i make mistakes, i am out of control and at times hard to handle. but if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,['general']
“two things are infinite: the universe and human stupidity; and i'm not sure about the universe.”,Albert Einstein,['general']
"“so many books, so little time.”",Frank Zappa,['general']
“a room without books is like a body without a soul.”,Marcus Tullius Cicero,['general']
"“be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,['general']
"“you've gotta dance like there's nobody watching,love like you'll never be hurt,sing like there's nobody listening,and live like it's heaven on earth.”",William W. Purkey,['general']
“you know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,['general']
"“you only live once, but if you do it right, once is enough.”",Mae West,['general']
“be the change that you wish to see in the world.”,Mahatma Gandhi,['general']
“in three words i can sum up everything i've learned about life: it goes on.”,Robert Frost,['general']
"“if you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","J.K. Rowling,",['general']
“donâ€™t walk in front of meâ€¦ i may not followdonâ€™t walk behind meâ€¦ i may not leadwalk beside meâ€¦ just be my friend”,Albert Camus,['general']
"“if you tell the truth, you don't have to remember anything.”",Mark Twain,['general']
"“friendship ... is born at the moment when one man says to another ""what! you too? i thought that no one but myself . . .”","C.S. Lewis,",['general']
“a friend is someone who knows all about you and still loves you.”,Elbert Hubbard,['general']
“always forgive your enemies; nothing annoys them so much.”,Oscar Wilde,['general']
"“to live is the rarest thing in the world. most people exist, that is all.”",Oscar Wilde,['general']
“live as if you were to die tomorrow. learn as if you were to live forever.”,Mahatma Gandhi,['general']
“darkness cannot drive out darkness: only light can do that. hate cannot drive out hate: only love can do that.”,"Martin Luther King Jr.,",['general']
"“without music, life would be a mistake.”","Friedrich Nietzsche,",['general']
“we accept the love we think we deserve.”,"Stephen Chbosky,",['general']
“i am so clever that sometimes i don't understand a single word of what i am saying.”,"Oscar Wilde,",['general']
“to be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”,Ralph Waldo Emerson,['general']
"“here's to the crazy ones. the misfits. the rebels. the troublemakers. the round pegs in the square holes. the ones who see things differently. they're not fond of rules. and they have no respect for the status quo. you can quote them, disagree with them, glorify or vilify them. about the only thing you can't do is ignore them. because they change things. they push the human race forward. and while some may see them as the crazy ones, we see genius. because the people who are crazy enough to think they can change the world, are the ones who do.”",Rob Siltanen,['general']
"“insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous,['general']
"“i believe that everything happens for a reason. people change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”",Marilyn Monroe,['general']
“twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. so throw off the bowlines. sail away from the safe harbor. catch the trade winds in your sails. explore. dream. discover.”,"H. Jackson Brown Jr.,",['general']
“it is better to be hated for what you are than to be loved for what you are not.”,"Andre Gide,",['general']
"“only once in your life, i truly believe, you find someone who can completely turn your world around. you tell them things that youâ€™ve never shared with another soul and they absorb everything you say and actually want to hear more. you share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. when something wonderful happens, you canâ€™t wait to tell them about it, knowing they will share in your excitement. they are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. there is never any pressure, jealousy or competition but only a quiet calmness when they are around. you can be yourself and not worry about what they will think of you because they love you for who you are. the things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. memories of your childhood come back and are so clear and vivid itâ€™s like being young again. colours seem brighter and more brilliant. laughter seems part of daily life where before it was infrequent or didnâ€™t exist at all. a phone call or two during the day helps to get you through a long dayâ€™s work and always brings a smile to your face. in their presence, thereâ€™s no need for continuous conversation, but you find youâ€™re quite content in just having them nearby. things that never interested you before become fascinating because you know they are important to this person who is so special to you. you think of this person on every occasion and in everything you do. simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. you open your heart knowing that thereâ€™s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. you find that being vulnerable is the only way to allow your heart to feel true pleasure thatâ€™s so real it scares you. you find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. life seems completely different, exciting and worthwhile. your only hope and security is in knowing that they are a part of your life.”",Bob Marley,['general']
"“all that is gold does not glitter,not all those who wander are lost;the old that is strong does not wither,deep roots are not reached by the frost.from the ashes a fire shall be woken,a light from the shadows shall spring;renewed shall be blade that was broken,the crownless again shall be king.”","J.R.R. Tolkien,",['general']
"“it is our choices, harry, that show what we truly are, far more than our abilities.”","J.K. Rowling,",['general']
"“the person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","Jane Austen,",['general']
"“imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,['general']
“there are only two ways to live your life. one is as though nothing is a miracle. the other is as though everything is a miracle.”,Albert Einstein,['general']
“it does not do to dwell on dreams and forget to live.”,"J.K. Rowling,",['general']
"“good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,['general']
"“as he read, i fell in love the way you fall asleep: slowly, and then all at once.”","John Green,",['general']
"“we are all in the gutter, but some of us are looking at the stars.”","Oscar Wilde,",['general']
"“fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”","Neil Gaiman,",['general']
"“it is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”","Maurice Switzer,",['general']
"“the fool doth think he is wise, but the wise man knows himself to be a fool.”","William Shakespeare,",['general']
"“whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”",Mark Twain,['general']
“life is what happens to us while we are making other plans.”,Allen Saunders,['general']
"“yesterday is history, tomorrow is a mystery, today is a gift of god, which is why we call it the present.”",Bill Keane,['general']
"“i have not failed. i've just found 10,000 ways that won't work.”",Thomas A. Edison,['general']
